stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
724500,03928,2015,02,20,31.0,24,17.8,24,1015.2,24,965.9,24,9.4,24,9.1,24,15.0,999.9,45.0,,19.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,21,40.9,24,34.3,24,1014.0,22,964.8,24,7.2,24,7.9,24,12.0,999.9,55.9,,23.0,,0.13,G,999.9,0,1,0,0,0,0
724500,03928,2015,02,22,28.9,24,18.7,24,1029.2,21,979.7,24,5.9,24,16.2,24,20.0,29.9,55.9,,18.0,,0.01,G,1.2,0,0,1,0,0,0
724500,03928,2015,02,23,19.1,24,2.3,24,1039.3,23,988.6,24,9.1,24,9.8,24,15.0,21.0,34.0,,15.1,,0.01,G,1.2,0,0,1,0,0,0
724500,03928,2015,02,24,26.3,24,11.5,24,1025.2,24,975.0,24,10.0,24,7.4,24,15.0,999.9,48.9,,15.1,,0.01,G,1.2,0,0,0,0,0,0
724500,03928,2015,02,25,36.5,24,23.7,24,1011.9,24,963.0,24,9.7,24,6.1,24,22.9,31.1,57.0,,15.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,02,26,23.5,24,7.8,24,1026.0,24,975.8,24,9.8,24,18.8,24,25.1,38.1,45.0,*,12.0,*,0.0,G,999.9,0,0,1,0,0,0
724500,03928,2015,02,27,14.8,24,1.1,24,1036.1,21,984.2,9,7.6,24,9.0,24,13.0,999.9,27.0,,10.9,,0.0,G,999.9,0,0,1,0,0,0
724500,03928,2015,02,28,17.7,24,12.5,24,1032.4,18,980.6,19,6.3,24,6.3,24,9.9,999.9,23.0,,10.9,,0.06,G,3.9,1,0,1,0,0,0
724500,03928,2015,03,01,24.7,24,19.6,24,1029.6,15,979.1,24,5.7,24,3.6,24,9.9,999.9,32.0,,16.0,,0.24,G,2.0,1,1,1,0,0,0
724500,03928,2015,03,02,26.3,24,18.5,24,1030.5,24,980.2,24,8.1,24,5.3,24,14.0,999.9,35.1,,14.0,,0.06,G,1.2,0,0,0,0,0,0
724500,03928,2015,03,03,38.2,24,31.9,24,1012.4,20,963.5,24,6.5,24,14.4,24,20.0,27.0,52.0,*,30.2,*,0.0,G,1.2,0,0,0,0,0,0
724500,03928,2015,03,04,28.6,24,16.6,24,1021.3,20,972.0,24,7.9,24,14.1,24,22.9,29.9,52.0,,19.9,,0.06,G,1.2,0,0,1,0,0,0
724500,03928,2015,03,05,26.7,24,10.2,24,1032.4,24,982.0,24,10.0,24,5.7,24,15.0,15.9,45.0,,10.0,,0.02,G,1.2,0,0,0,0,0,0
724500,03928,2015,03,06,38.3,24,21.3,24,1029.4,24,979.7,24,10.0,24,10.4,24,19.0,22.0,61.0,,10.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,07,46.5,24,28.8,24,1025.0,24,976.1,24,10.0,24,7.4,24,12.0,999.9,70.0,,21.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,08,51.6,24,34.6,24,1019.0,24,970.7,24,10.0,24,7.2,24,9.9,999.9,70.0,,28.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,09,48.8,24,35.2,24,1017.8,24,969.6,24,10.0,24,4.6,24,8.9,999.9,69.1,,37.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,10,51.6,24,39.1,24,1015.7,23,967.5,24,6.3,24,3.9,24,8.0,999.9,73.0,,37.9,,0.0,G,999.9,1,0,0,0,0,0
724500,03928,2015,03,11,56.3,24,35.4,24,1021.0,24,972.9,24,10.0,24,3.8,24,8.9,999.9,77.0,,37.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,12,58.8,24,34.2,24,1022.7,24,974.6,24,10.0,24,5.8,24,12.0,18.1,77.0,,37.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,13,57.0,24,34.3,24,1019.2,24,971.2,24,10.0,24,8.5,24,18.1,25.1,73.9,,39.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,14,59.1,24,32.7,24,1021.3,24,973.4,24,10.0,24,12.5,24,15.9,22.0,73.9,,39.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,15,52.4,24,28.9,24,1025.0,24,976.4,24,10.0,24,6.3,24,14.0,17.1,73.9,,28.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,16,59.8,24,38.9,24,1018.8,24,970.9,24,9.8,24,11.2,24,21.0,28.9,82.0,*,43.0,*,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,17,55.4,24,32.9,24,1019.9,24,972.0,24,10.0,24,16.0,24,25.1,35.0,82.9,,41.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,18,47.0,24,29.8,24,1020.8,21,972.3,24,9.1,24,8.8,24,15.0,999.9,60.1,,42.1,,0.01,G,999.9,0,1,0,0,0,0
724500,03928,2015,03,19,44.2,24,41.7,24,1017.8,24,969.2,24,7.6,24,7.1,24,11.1,999.9,50.0,,42.1,,0.02,G,999.9,0,1,0,0,0,0
724500,03928,2015,03,20,48.0,24,38.6,24,1021.4,23,972.7,24,7.6,24,4.3,24,12.0,17.1,66.9,,30.9,,0.05,G,999.9,0,1,0,0,0,0
724500,03928,2015,03,21,52.2,24,36.9,24,1020.5,24,972.1,24,9.4,24,4.9,24,12.0,20.0,71.1,,30.9,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,22,57.6,24,40.3,24,1015.8,24,968.0,24,9.6,24,6.1,24,12.0,18.1,73.9,,33.1,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,23,57.5,24,40.0,24,1016.3,23,968.9,24,10.0,24,8.1,24,13.0,17.1,73.9,,43.0,,0.0,G,999.9,0,0,0,0,0,0
724500,03928,2015,03,24,62.4,24,48.6,24,1009.1,22,962.0,24,10.0,24,12.2,24,21.0,24.1,72.0,,46.0,,0.0,G,999.9,0,1,0,0,1,0
724500,03928,2015,03,25,56.7,24,41.8,24,1012.0,24,964.4,24,9.9,24,10.3,24,39.0,44.1,71.1,,48.0,,0.0,G,999.9,0,1,0,1,1,0
724500,03928,2015,03,26,44.7,24,32.6,24,1021.7,24,973.1,24,9.7,24,11.2,24,22.9,31.1,70.0,,35.1,,0.06,G,999.9,0,1,0,0,0,0
